# date	time	lat	lon	hdop
14:22:22	2018-12-19	51.04939	3.737365	10.8
14:22:24	2018-12-19	51.04946	3.7372967	10.5
14:22:26	2018-12-19	51.0495483	3.7372167	11.5
14:22:28	2018-12-19	51.0497083	3.73713	13
14:22:29	2018-12-19	51.0498033	3.7370883	13.7
14:22:32	2018-12-19	51.0500183	3.7369867	15.5
14:22:34	2018-12-19	51.0502317	3.7368567	14.3
14:22:36	2018-12-19	51.0503467	3.7367767	12.7
14:22:37	2018-12-19	51.0504033	3.73674	12.9
14:22:38	2018-12-19	51.0504483	3.736695	12.8
14:22:39	2018-12-19	51.0504833	3.736655	11.8
14:22:41	2018-12-19	51.050575	3.7365817	12.9
14:22:43	2018-12-19	51.050635	3.7365233	11.8
14:22:44	2018-12-19	51.05066	3.7364967	11.2
14:22:46	2018-12-19	51.0507217	3.736445	11.3
14:22:48	2018-12-19	51.0507867	3.736365	11.4
14:22:49	2018-12-19	51.05084	3.7363017	11.5
14:22:50	2018-12-19	51.0508867	3.7362583	11.5
14:22:52	2018-12-19	51.0509667	3.73618	11.1
14:22:54	2018-12-19	51.0511017	3.7360933	12.4
14:22:56	2018-12-19	51.0512117	3.7359983	12.6
14:22:57	2018-12-19	51.0512733	3.735955	12.6
14:22:59	2018-12-19	51.05146	3.7358517	13.1
14:23:01	2018-12-19	51.0515833	3.7357583	13.3
14:23:02	2018-12-19	51.0516517	3.7357	13.3
14:23:03	2018-12-19	51.051715	3.7356533	13.4
14:23:05	2018-12-19	51.05181	3.73554	13.2
14:23:07	2018-12-19	51.0519183	3.73544	12.6
14:23:08	2018-12-19	51.05197	3.73539	12.5
14:23:09	2018-12-19	51.0520233	3.735335	12.4
14:23:11	2018-12-19	51.052145	3.7352417	12.7
14:23:13	2018-12-19	51.05228	3.7351583	13.3
14:23:14	2018-12-19	51.0523517	3.7351167	13.5
14:23:17	2018-12-19	51.0524883	3.7350367	13.7
14:23:18	2018-12-19	51.0526217	3.7349633	14
14:23:19	2018-12-19	51.05268	3.7349333	13.2
14:23:21	2018-12-19	51.052795	3.7348783	12
14:23:23	2018-12-19	51.0528483	3.7348517	12
14:23:25	2018-12-19	51.05294	3.7348133	11
14:23:27	2018-12-19	51.053015	3.7347783	9.4
14:23:29	2018-12-19	51.05311	3.73476	9.3
14:23:31	2018-12-19	51.0531633	3.7347967	8.9
14:23:33	2018-12-19	51.0531783	3.7348733	7.6
14:23:34	2018-12-19	51.0531833	3.7349133	9.2
14:23:36	2018-12-19	51.0532067	3.7349883	8.5
14:23:38	2018-12-19	51.0532133	3.73503	8.4
14:23:39	2018-12-19	51.05323	3.735115	8.9
14:23:41	2018-12-19	51.053245	3.7351667	9.3
14:23:42	2018-12-19	51.0532833	3.7352717	9.6
14:23:44	2018-12-19	51.053345	3.7353367	8.1
14:23:46	2018-12-19	51.0533867	3.7353383	8.3
14:23:48	2018-12-19	51.0535083	3.7353467	9.9
14:23:50	2018-12-19	51.0536217	3.735325	11.3
14:23:53	2018-12-19	51.053745	3.73529	12.2
14:23:56	2018-12-19	51.05391	3.7352933	12.7
14:23:58	2018-12-19	51.0540833	3.7353283	13.6
14:24:00	2018-12-19	51.0541967	3.735285	13.8
14:24:02	2018-12-19	51.0543067	3.7352383	13.3
14:24:03	2018-12-19	51.05435	3.735225	12.9
14:24:04	2018-12-19	51.0543983	3.7352167	13.1
14:24:07	2018-12-19	51.0544967	3.7351967	13.5
14:24:09	2018-12-19	51.05464	3.7351617	13
14:24:11	2018-12-19	51.054725	3.7351483	12.4
14:24:13	2018-12-19	51.05483	3.7351233	13
14:24:16	2018-12-19	51.0549283	3.7351067	13.4
14:24:18	2018-12-19	51.055005	3.7351083	12.5
14:24:19	2018-12-19	51.05509	3.7351133	12.8
14:24:20	2018-12-19	51.0551083	3.7351433	12.3
14:24:22	2018-12-19	51.0551567	3.735135	12.8
14:24:24	2018-12-19	51.0552817	3.7351	12.6
14:24:26	2018-12-19	51.05532	3.7351067	12.1
14:24:28	2018-12-19	51.0554083	3.73497	11.5
14:24:30	2018-12-19	51.0554183	3.7349067	11.4
14:24:35	2018-12-19	51.055355	3.7350717	11
14:24:37	2018-12-19	51.055375	3.7352117	11.7
14:24:38	2018-12-19	51.0553883	3.7352867	12
14:24:39	2018-12-19	51.0553967	3.7353667	12.4
14:24:41	2018-12-19	51.0554233	3.735525	12.5
14:24:43	2018-12-19	51.0554383	3.7356883	11.4
14:24:44	2018-12-19	51.055445	3.7357633	11.1
14:24:46	2018-12-19	51.05545	3.7359183	11.5
14:24:47	2018-12-19	51.0554583	3.7359883	10.8
14:24:49	2018-12-19	51.0554633	3.7361183	11.3
14:24:50	2018-12-19	51.055475	3.73618	10.8
14:24:52	2018-12-19	51.05549	3.7363	10.9
14:24:54	2018-12-19	51.0555133	3.7364367	10.8
14:24:56	2018-12-19	51.055535	3.7365467	8
14:24:58	2018-12-19	51.0555567	3.7365833	5.2
14:24:59	2018-12-19	51.05556	3.73658	4
14:25:01	2018-12-19	51.0555583	3.7365767	4.1
14:25:02	2018-12-19	51.0555583	3.7365767	9.8
14:25:04	2018-12-19	51.055535	3.736435	9
